Text,Annotate,LSTM_framing,GRU_framing,LR_framing,SVM_framing
" According to Clavano, Perry was the first to paddle Salilig. ",11.0,11.0,11.0,,
" “This assertion belied respondent Perry’s averment in his counter-affidavit that he opted not to participate in the initiation rites and instead focused his attention on looking out for the health and safety of the neophytes,” Clavano said.",13.0,5.0,5.0,,
" “Clearly having the first knack on paddling John Matthew was not consistent with looking out for his health and safety,” he added.",9.0,9.0,9.0,,
" The other fraternity members paddled Salilig after that, Clavano said.",7.0,12.0,12.0,,
" Victorino and Ricalde’s presence in the venue as well as their knowledge that the hazing rites were being conducted were “unequivocal indications that they were part of the planning and the conduct of the hazing,"" he added. ",7.0,3.0,11.0,,
" “As to respondent Pedrosa, aside from being actually present in the initiation rites, he allegedly provided the venue in Biñan City, Laguna where the hazing was conducted. As such, his participation in the planning and conduct of the hazing cannot be denied,” he said.",7.0,7.0,7.0,,
 The DOJ spokesperson said the panel also  that Adamson University conduct an investigation into the actual events.,5.0,5.0,5.0,,
" “The panel of prosecutors also  that the Adamson University be called upon to investigate motu propio and take an active role to ascertain actual events and identify witnesses in order to determine the disciplinary actions they may impose,” Clavano said.",5.0,5.0,5.0,,
 It also called on the university to provide assistance to the police.,7.0,7.0,7.0,,
 Dela Cruz previously said that the fraternity members declined to bring Salilig to the hospital after he suffered from a seizure during hazing rites.,9.0,9.0,10.0,,
" Meanwhile, the DOJ said two  filed by John Michael Salilig and Dela Cruz and Alexander Marcelo and Earl Abuda have yet to be assigned to prosecutors.",5.0,5.0,5.0,,
"  filed by Dela Cruz and Salilig’s brother was against Mark Rama (Ji), Levi Gianan (Sakmal), Arjay Camangyan (Snoop), Arjay Arao (Vash/Bash) Christian Mercado (Void), Lester Sus (Biggie), Carlos Rovillos (Bishop), Earl Ursolino (Thugs), Aron Cruz (Bones), Ralph Tan (Scottie), Armando Hernandez Jr. (Tyler) and a certain “Mc Gregor.”",5.0,3.0,5.0,,
" The  was filed against Romero, Balot, Victorino, Pedrosa, Perry, Hernandez, Gianan, Rama, Camangyan, Arao, Mercado, Sus, Ursolino, Cruz, Tan, Michael Ritalde (Lambert), Carlos Rovillos (Bishop), and “Mc Gregor.” ",5.0,5.0,5.0,,
" Meanwhile, Justice Secretary Jesus Crispin Remulla gave a  on how to strengthen the Anti-Hazing Law.",5.0,3.0,5.0,,
" “Well, the fraternities must be served notices, probably, the alumni of each fraternity should be listed as among those who are part of the fraternity and who should be responsible also when things happen,” Remulla told reporters.",6.0,3.0,13.0,,
" “Sila ‘yung nilalapitan ng fraternities para sa tulong while they exist peacefully. Pag may trouble sila din ang nilalapitan para humingi ng tulong… they are part of the legal tradition so they have to have a greater responsibility,” he added.",5.0,5.0,5.0,,
" (Fraternities approach them for help while they exist peacefully. When there is trouble, they are also approached for help… they are part of the legal tradition, so they have to have a greater responsibility.)",5.0,5.0,5.0,,
" The secretary, however, refused  when asked about his position on the use of hazing as an initiation rite.",13.0,13.0,13.0,,
House leader: ECOP should not use MSMEs to oppose wage hike,13.0,13.0,13.0,,
 House Assistant Minority Leader Arlene Brosas warned the Employers Confederation of the Philippines (ECOP) against using the micro and small enterprises (MSMEs) to justify its opposition to Makabayan bloc’s proposed P750 nationwide daily wage hike for private sector workers.,1.0,13.0,1.0,,
" “ECOP cannot speak for the micro and small enterprises in opposing the P750 wage hike demand because ECOP represents large corporations, most of which belong to the top 1,000 corporations,” Brosas said in a statement.",1.0,1.0,1.0,,
" ""The top 1,000 corporations which ECOP and other business chambers represent can fully shoulder the P750 wage increase from their superprofits. In fact, profits of top 1,000 firms jumped by 17.5% in 2021, during the height of the pandemic, when workers had to make do with crumbs. Dapat tigilan na ng ECOP ang pag-aastang spokesperson at tagapagtanggol ng MSMEs dahil sa aktwal ay interes ng malalaking negosyo sa bansa ang kinakatawan nito,"" she added.",1.0,1.0,1.0,,
 (ECOP should stop acting like they are the spokesperson of MSMEs because they represent big businesses.),1.0,1.0,1.0,,
 Gabriela Partylist said large enterprises also heavily benefited from the tax savings upon the implementation of the Corporate Recovery and Tax Incentives for Enterprises (CREATE) which should enable them to shoulder the proposed wage increase.,1.0,1.0,1.0,,
" Under the Makabayan’s bloc wage hike proposal under House Bill 7568, wage subsidies will be provided to micro and small enterprises and small landowners hiring agricultural workers to help them finance the proposed wage hike.",1.0,1.0,1.0,,
" “Funding for wage subsidies can be sourced from redundant infrastructure projects, and from the collection of wealth tax on the assets of top Filipino billionaires. We can also include allocations for wage subsidies in the unprogrammed funds,” Brosas said.",1.0,1.0,1.0,,
" She cited the P807.16 billion unprogrammed funds under the 2023 budget for various programs covering infrastructure projects, AFP modernization, and the National Task Force to End Local Communist Armed Conflict (NTF-ELCAC).",1.0,1.0,1.0,,
"House ethics panel to discuss Teves' absence, assures him of due process",13.0,13.0,13.0,,
 The House Committee on Ethics and Privileges conducted an executive session on Wednesday morning for its motu proprio investigation into the absence without official leave of Negros Oriental Representative Arnolfo Teves Jr.,13.0,13.0,13.0,,
" Committee Chair Felimon Espares, in an interview with media before the start of the executive session, said they will determine if Teves violated any rule of the House of Representatives.",13.0,13.0,13.0,,
" “This is with regards to the leave of absence na hindi na na-approve. So the House needs to determine whether or not may violations ba. And of course, to protect the image of the House,” Espares explained.",13.0,13.0,13.0,,
 (This is with regards to the leave of absence that was not approved. So the House needs to determine whether or not there were violations.),13.0,13.0,5.0,,
" Teves’ travel authority for his personal trip to the United States expired on March 9, 2023. House Secretary General Reginald Velasco said the lawmaker requested for an extension of his travel authority.",5.0,13.0,13.0,,
 Speaker Martin Romualdez had already called on Teves to return to the country and report back to work.,13.0,13.0,13.0,,
" But the speaker revealed that in a phone conversation with Teves from an undetermined location, Teves expressed fears for his and his family’s safety.",10.0,13.0,13.0,,
 Teves is being linked to the killing of Negros Oriental Governor Roel Degamo and several others.,7.0,7.0,7.0,,
" “Pinapauwi. So kung wala talagang dahilan na bakit hindi siya makauwi, bakit hanggang ngayon, wala pa?” Espares asked about Teves’ defiance of the speaker’s call.",12.0,13.0,13.0,,
" (He is being asked to go home. So if there is no reason why he could not go home,  he has not yet returned up to now?)",5.0,5.0,5.0,,
" When asked what courses of action  may take against Teves in case it determines there were  Espares said, “Depends on the members… Of course, we are on the administrative aspect to really  whatever disciplinary actions… Usually ganoon naman, suspension. Pero  to worse, the House, according to our rule naman, may expulsion at saka dropping from the rolls.”",7.0,5.0,5.0,,
" (It is usually like that, suspension. But if  to worse, the House, according to our rule, will have to resort to expulsion and dropping from the rolls.)",6.0,13.0,13.0,,
 Espares assured Teves he will be given due process.,5.0,5.0,5.0,,
" He also explained that hearings of the  are always closed to the public, in accordance with the rules of the House of Representatives.",13.0,13.0,13.0,,
" “This is confidential meeting because we are tackling the House members which we need to protect and that’s part of our House rules,” Espares said.",13.0,13.0,13.0,,
" When asked if  decision can be expected before Congress goes on recess starting March 25, 2023, Espares said that will be decided upon by ",13.0,13.0,13.0,,
" He however added that if they fail to muster a quorum on Wednesday, the hearing will be moved to a later date.",5.0,5.0,5.0,,
 The  has 17 members and the presence of five members constitutes a quorum.,12.0,12.0,12.0,,
 Police on Friday raided houses belonging to Teves in Negros Oriental in search of loose firearms.  ,7.0,7.0,7.0,,
" Complaints have been filed against six people arrested during the said raids, among them Teves' secretary, police said Tuesday.",7.0,7.0,5.0,,
 Teves' camp however on Monday said the lawmaker does not own the firearms allegedly retrieved from his houses.,13.0,7.0,7.0,,
Philippine government seeks suspension of ICC drug war probe,5.0,7.0,5.0,,
 The Philippine government has sought the reversal of the decision of the International Criminal Court (ICC) to reopen an inquiry into the brutal anti-drugs campaign by former President Rodrigo Duterte.,5.0,5.0,5.0,,
" The Office of the Solicitor General (OSG), in an appeals brief filed March 13, reiterated that the Hague-based tribunal has no jurisdiction as the Philippine government has pulled out of the Hague-based tribunal in 2019.",5.0,5.0,5.0,,
" The ICC Prosecutor was allowed to conduct an investigation into the ""Situation in the Philippines"" for  in relation to the war on drugs. The alleged crimes happened at the time the Philippines was a member, citing that the cases within the period November 1, 2011 to March 16, 2019 will be included in the investigation.",5.0,7.0,7.0,,
" The OSG, citing legal basis, said there are conditions that should be met before the investigation can take place.",5.0,5.0,5.0,,
" There must be a State referral or in this case, the Philippine government's referral of cases.",5.0,5.0,5.0,,
 There also should be a referral from the United Nations Security Council and motu proprio prosecutor investigation or investigation of its own accord.,14.0,7.0,8.0,,
" The OSG has also implied in its appeal brief that conditions under Article 12 should be met, which includes acceptance of the State of the investigation. The Philippines has to agree to the investigation of the ICC Prosecutor.",5.0,5.0,5.0,,
" The Philippine government, through the OSG, is asking ICC to suspend the investigation while the appeal is ongoing; to suspend the authorization of the ICC to investigate; and to determine that the Prosecution is not authorized to conduct an investigation.",5.0,5.0,5.0,,
" In January 2023, the ICC said it had authorized the reopening of an inquiry into the war on drugs.",5.0,5.0,5.0,,
" ICC prosecutor Karim Khan asked to restart the inquiry, saying the Philippine government under Duterte's successor, President Ferdinand ""Bongbong"" Marcos Jr., had not provided evidence it was carrying out thorough inquiries.",5.0,5.0,5.0,,
" The ICC said its pre-trial chamber ""is not satisfied that the Philippines is undertaking relevant investigations that would warrant a deferral of the court's investigations"".",5.0,5.0,5.0,,
" ""The various domestic initiatives and proceedings, assessed collectively, do not amount to tangible, concrete and progressive investigative steps,"" it added.",6.0,5.0,5.0,,
 It can be recalled that former President Rodrigo Duterte pulled the Philippines out of the Hague-based tribunal in 2019 after the ICC initiated a preliminary investigation.,14.0,5.0,5.0,,
" The probe was suspended after the Philippine government reviewed several hundred cases of drug operations that led to deaths at the hands of police, hitmen and vigilantes.",7.0,7.0,7.0,,
" Government records showed that at least 6,200 drug suspects have been killed in police operations from June 2016 until November 2021. Several human rights groups, however, refuted the data and claimed the actual death to stand at around 12,000 to 30,000.",7.0,7.0,7.0,,
Barbers: Informants of successful drug busts being paid with drugs,7.0,7.0,1.0,,
" Informants of the police and the Philippine Drug Enforcement Agency are being paid for successful tips with confiscated drugs that they then sell on the street, House dangerous drugs panel chairperson Robert Ace Barbers of Surigao del Norte said Tuesday.",7.0,7.0,7.0,,
 Barbers said this was disclosed by an informant to him during an executive session.,8.0,7.0,7.0,,
" “A substantial amount of illegal drugs hauled, seized and confiscated by the PNP [Philippine National Police] and PDEA are being recycled for the past 20 years. This fact was revealed today by an asset/informant of the two agencies who admitted being given 'basura'—street lingo for shabu—by anti-illegal drug operatives of the two agencies every time they make a bust based on his tips,” Barbers said, adding that the assets are given 30% to as much as 70% of the haul.",7.0,7.0,7.0,,
" ""Binibigyan ng shabu o part of the evidence for the assets to sell it to the streets. Kapag naging cash na ito, na-convert na into cash, binabalik na ito sa operatives...Doon siya magkakaroon ng porsiyento,"" he also said in Tina Panganiban-Perez's report on ""24 Oras.""",1.0,1.0,1.0,,
" At the House panel hearing, PDEA Director General Virgilio Lazo said that occasionally informants would ask their agents for some of the seized drugs for that purpose, but that they would be turned down. ",13.0,13.0,13.0,,
" ""They approached one acquaintance of mine who was also helping me in PDEA...sabi nila, 'Yun, sir, ang kalakaran kahit sa kabila.'...They mentioned the PNP...I want to make it clear that their proposals were rejected outright,"" he said.",13.0,13.0,13.0,,
" At the same hearing, Police Brigadier General Allan Nobleza replied, ""It is not the policy of the PNP to recycle any drugs in any drug operations.""",7.0,7.0,7.0,,
 Barbers vowed to pursue criminal charges against those involved in the scheme.,7.0,7.0,7.0,,
" “In due time, if evidence warrants, criminal charges will be filed,” he said.",7.0,5.0,5.0,,
" “We will not stop until we have unmasked all these crooks in uniform who have doomed so many lives to live in luxury,” he added.",7.0,7.0,10.0,,
"Longer weekend seen as Palace announces April 10, 2023 a non-working day",1.0,13.0,11.0,,
" The long weekend over the Holy Week will be even longer with President Ferdinand Marcos Jr.'s proclamation moving the non-working day in observance of Araw ng Kagitingan to Monday, April 10.",6.0,3.0,3.0,,
" On the Official Gazette's Facebook page, Malacañang referred to Marcos' Proclamation No. 90 issued in November 2022.",11.0,12.0,11.0,,
"  of Araw ng Kagitingan (April 9) which is a regular holiday falls on a Sunday for the year 2023,"" Proclamation No. 90 read.",11.0,11.0,11.0,,
" ""To enable our countrymen to avail of the benefits of a longer weekend, Monday, 10 April 2023, in lieu of Sunday, 9 April 2023, may be declared as a non-working holiday, provided that the historical significance of Araw ng Kagitingan is maintained,"" it added.",6.0,10.0,1.0,,
DOTr pushes for PUV fare discount,1.0,1.0,1.0,,
" The Department of Transportation (DOTr)  ""fare discounts""  riding public utility vehicles (Jeeps, buses, and UV Express) in place of free rides in the EDSA Bus Carousel. ",1.0,1.0,9.0,,
" According to Joseph Morong’s “24 Oras” report on Tuesday, the  fare discounts will be the same as the fare on pre-pandemic and before the fare hike was implemented.",1.0,1.0,1.0,,
" “Pre-pandemic fare matrix will be applied and the provisional fare increases implemented will be covered accordingly by the government,” DOTr secretary Jaime Bautista said in the memorandum submitted to Land Transportation Franchising and Regulatory Board (LTFRB) chairman Teofilo Guadiz III.",1.0,6.0,6.0,,
" The minimum fare for traditional jeepneys will be P9 from the current P12, while in the modern jeepneys will be from P14 to P11.",1.0,1.0,1.0,,
" The possible discount fare for buses will be up to P4, while they are still studying the discount fare for UV Express.",1.0,1.0,1.0,,
 The DOTr said the discounted fares will be implemented in several parts of the country.,1.0,1.0,1.0,,
" “Ang ikokonsidera dito ay yung mga ruta sa buong bansa na pinakamarami ang pasahero,” DOTr undersecretary Mark Steven Pastor said.",6.0,3.0,3.0,,
 (What will be considered here are the routes across the country that have the most number of passengers.),2.0,2.0,11.0,,
" However, these discounted fares will be temporary and will be stopped when the P2 billion fund for the service contracting program of the LTFRB this year has been consumed.",1.0,1.0,1.0,,
 The DOTr is also pushing for free rides during holidays in public transportation such as trains.,1.0,6.0,10.0,,
House panel lifts contempt order on cold storage facility officials,13.0,13.0,13.0,,
 The House Agriculture and Food Committee lifted the contempt order on officials of the Argo International Forwarders Inc. cold storage facility  officials pledged to submit the pertinent documents requested by lawmakers.,13.0,13.0,13.0,,
" In a statement released by the House of Representatives Media Bureau, the House said that the contempt order on Argo President and General Manager Efren Zoleta Jr., Argo Operations Manager John Patrick Sevilla, and their legal counsel Jan Ryan Cruz was lifted after Cruz assured lawmakers that they had no intention of disregarding the congressional probe nor delaying the process.",13.0,13.0,13.0,,
" “Representative [Rodante] Marcoleta [of 1-Sagip party-list] stated that he has no objection to the lifting of the contempt order as long as all the conditions imposed by  orders are  with,” read the House statement.",13.0,13.0,13.0,,
 Marcoleta also said in the statement that the data to be submitted by Argo officials would help Congress hunt economic predators.,1.0,13.0,13.0,,
" The House Agriculture and Food panel, chaired by Mark Enverga of Quezon, had voted to cite the three Argo officials for contempt and ordered them detained for 10 days for their refusal to turn over their list of clients who stored red onions in their facility during the spike in red onion prices during the last quarter of 2022. ",13.0,13.0,13.0,,
" Just hours before the contempt order was lifted, Enverga announced that Zoleta and Cruz had surrendered themselves to House of Representatives Sergeant-at-Arms Napoleon Taas last Monday  with the contempt order.",7.0,5.0,5.0,,
Cynthia Villar seeks creation of anti-agri smuggling task force following probe into high onion prices,7.0,7.0,7.0,,
 Senator Cynthia Villar on Tuesday highlighted the need for a court and a task force that will handle agricultural smuggling cases.,13.0,13.0,13.0,,
" The lawmaker stressed this as she reported out Committee Report No. 25, which was based on the  on agriculture, food, and agrarian reform’s investigation into the soaring prices of onions in the latter part of 2022.",1.0,13.0,13.0,,
" ""It is high time that we have an Anti-Agricultural Smuggling Task Force and Anti-Agricultural Smuggling Court,"" Villar said in her sponsorship speech on Committee Report No. 25.",13.0,7.0,7.0,,
" ""With these in place, we will have a watchdog in the agricultural sector to ensure that whoever manipulates the price of  to the detriment of small farmers and consumers will be brought to justice accordingly. Gone are the days when we [were] always at the mercy of these cartels,"" she added.",1.0,1.0,1.0,,
" Villar filed Senate Bill 1963, or the proposed Anti-Agricultural Smuggling Courts Act, as a result of the investigation.",13.0,13.0,5.0,,
" She also filed Senate Bill 1962, which seeks to amend the Anti-Agricultural Smuggling Act of 2016. A similar bill was filed by Senator JV Ejercito.",13.0,13.0,13.0,,
"  also  the establishment of post-harvest services for onion farmers, like cold storage facilities, and providing the same either through farmer cooperatives or government facilities.",1.0,1.0,1.0,,
 These post-harvest facilities should be strategically located to ensure accessibility to farmers at a lower cost.,1.0,1.0,1.0,,
" Meanwhile, the Senate panel said importation, if necessary, must be ""logically scheduled"" so it will not impede  compete with local production and harvest.",13.0,13.0,13.0,,
DOH sees delays in arrival of bivalent jabs due to lapse of state of calamity,6.0,2.0,5.0,,
" The Philippines is experiencing delays in the arrival of the bivalent vaccines, considering the lifting of the state of calamity due to COVID-19, Department of Health (DOH) officer-in-charge Maria Rosario Vergeire said Tuesday.",9.0,9.0,9.0,,
" At a press conference, Vergeire explained that conditions on the immunity from liability and indemnification clauses required by vaccine manufacturers and international agreements need to be addressed first before they proceed with the negotiations for the bivalent jabs.",5.0,5.0,5.0,,
" “‘Yung bivalent vaccines medyo nagkakaroon lang tayo ng kaunting delays because katulad naman ng alam ng ating mga kababayan, ‘yung state of calamity ay na-lift na and alongside with this state of calamity, may mga kondisyon na kasama ‘yan na kailangan nating bigyan tugon,” she said.",9.0,13.0,5.0,,
" (As to the bivalent vaccines, we are having a slight delay because the state of calamity has been lifted and alongside this, there are conditions included that we need to respond to.)",9.0,13.0,5.0,,
" “Ngayon, ito ang hinihingan natin ng  from the Office of the President if we can enter into this agreement with this immunity from liability and indemnification clauses na nakapasok diyan para mag go ahead ng ating mga transaksyon at pakikipag-usap,” she added.",13.0,5.0,13.0,,
 (We are asking guidance now from the Office of the President if we can enter into this agreement with this immunity from liability and indemnification clauses included so we can proceed with our transactions and coordination.),5.0,5.0,5.0,,
" The country’s state of calamity due to COVID-19 ended on December 31, 2022, despite the DOH  a further extension of it.",14.0,11.0,11.0,,
" Supposedly, the first batch of the donated bivalent vaccines is expected to arrive by the end of March.",9.0,11.0,11.0,,
" The priority for this batch will be healthcare workers, senior citizens, and people  according to DOH.",9.0,9.0,9.0,,
 Vergeire also defended that the prioritization of the vulnerable sector as recipients for the COVID-19 vaccines is based on science and evidence.,9.0,1.0,1.0,,
" “‘Yung sa prioritization ng bakuna, atin po itong pinatupad dahil nung unang panahon na tayo ay magbabakuna, kakaunti lamang ang resources natin,” she said, adding that the Philippines only received donations of Sinovac doses from China when vaccines became available.",14.0,2.0,1.0,,
" (We implemented the prioritization because when we first started vaccinating, we had very few resources.)",9.0,6.0,6.0,,
" “Tayo po, ‘pag nagpapatupad ng programa, it has always been based on science and evidence and during that time and up until now, may mga klase ng bakuna ng COVID-19 na maibibigay lang natin at nirerekomenda ng eksperto para sa piling populasyon,” she added.",11.0,11.0,11.0,,
" (When we implement a program, it is always based on science and evidence and during that time and up until now, there are types of COVID-19 vaccines that we can only give and are  by experts for selected populations only.)",9.0,6.0,11.0,,
 Vergeire made the remark in response to the statement of Senator Francis Tolentino that COVID-19 vaccine wastage in the country could possibly be due to mistakes in the prioritization of COVID-19 vaccine recipients and the distribution of vaccines.,13.0,13.0,13.0,,
" Tolentino said there might have been something wrong with the strategy for the vaccine allocation, with healthcare workers prioritized as A1, senior citizens A2, and people  prioritized as A3.",9.0,9.0,9.0,,
Speaker Romualdez: Arnie Teves refuses to return home at this time,13.0,13.0,13.0,,
" Negros Oriental Rep. Arnolfo Teves is refusing  home as he express fears over his safety and that of his family, Speaker Martin Romualdez said on Tuesday.",13.0,13.0,13.0,,
 Teves is being linked to the killing of Negros Oriental Gov. Roel Degamo and several others.,7.0,7.0,7.0,,
" “Cong Arnie Teves got in touch with me through a phone call last night from an undetermined location,"" Romualdez said.",7.0,10.0,5.0,,
" ""He expressed fear for the safety of his person and his family, saying this is the reason why he refuses to return home at this time,” he added.",9.0,10.0,10.0,,
 Armed men in military gear attacked Degamo's residence while he was distributing aid to some constituents. The incident left eight others dead and 17 wounded.,7.0,8.0,7.0,,
 Four counts of  have also been filed before the Department- of Justice against Teves over  in 2019.,5.0,5.0,5.0,,
" “I assured him that the Speaker, as the political and administrative leader of the House of Representatives, will exert all efforts to ensure the personal safety of all Members,"" Romualdez said.",13.0,13.0,13.0,,
" ""I have ordered the House Sergeant-at-Arms to coordinate with law enforcement agencies and prepare appropriate security arrangements for his return,” he added.",8.0,7.0,7.0,,
 Romualdez renewed his call on Teves to go home and face  against him.,13.0,12.0,13.0,,
PCG should face raps for allowing MT Princess Empress to sail sans permit to operate —Tulfo,5.0,5.0,5.0,,
" Philippine Coast Guard personnel who allowed MT Princess Empress to sail without permit to operate should face charges for dereliction of duty, Senator Raffy Tulfo said Tuesday.",7.0,8.0,8.0,,
 The lawmaker issued the remark after PCG Vice Admiral Joseph Coyme said the inspectors did not tick off the box for MT Princess Empress’ Certificate of Public Convenience (CPC) in its pre-departure inspection checklist.,8.0,13.0,13.0,,
" “Doon nagkaroon ng kapabayaan. Kung hindi lang po sana naging pabaya ang mga tao ninyo, hindi napayagang maglayag ‘yon dahil kulang sa dokumento, hindi sana tayo nag-uusap lahat dito,” Tulfo said at a Senate hearing on the oil spill.",13.0,13.0,13.0,,
" (That's where the negligence occured. If your personnel were not negligent, they would have not allowed it to sail for lack of document. This would not have happened.)",9.0,4.0,4.0,,
" “So dapat ‘yung mga nag-check niyan kasuhan at makulong dahil sa kapabayaan, dereliction of duty. 'Di ho ba? Pati ‘yung mga supervisor n’yan kasuhan din kasi po paulit ulit na lamang 'to, Madam Chair…Ito ngayon walang permit to operate…and yet nakalusot dahil hindi ininspect nang mabuti, nang maayos ng PCG ‘yung mga requirements,” he added.",6.0,8.0,8.0,,
" (Those who checked it should be charged and jailed for negligence, dereliction of duty. Even their supervisors should be charged because this is a recurring incident. It has no permit to operate yet was able to sail because it was not inspected thoroughly, the PCG did not look for the requirements.)",7.0,7.0,7.0,,
" Should this happen again next time, Tulfo said raps should be filed against high-ranking PCG officials.",13.0,5.0,5.0,,
" “So next time, ‘wag na po ito mangyari dahil kung mangyari po ito 'di lang ang kakasuhan 'yung mga nag-iinspect,  na siguro, kataas-taasan,” he said.",11.0,15.0,15.0,,
" (This should not happen against because if there will be a repeat of this, even  the senior officials, should be charged as well.)",7.0,7.0,5.0,,
" Senator Risa Hontiveros also grilled PCG after Vice Admiral Lizor Punzalan Jr.,  for operations, said their personnel did not board the vessel for inspection.",13.0,13.0,13.0,,
" Pressed to answer if PCG personnel boarded MT Princess Empress for its pre-departure inspection, Coyme responded: “This is really what we really want to forward to national headquarters to conduct administrative investigation pertaining to lapses of our personnel, if such indicates.”",8.0,7.0,8.0,,
 Punzalan said the personnel involved are currently under the custody of their unit while they are conducting their investigation.,7.0,7.0,7.0,,
" “Wala akong ma-imagine na inspection ng barko na hindi binoard ang barko. Parang dumadami ‘yung mga list of agencies na possibly accountable sa nangyari na ito. Sa kabila ng mga heroic efforts ninyo to respond, pero ‘di ba sinasabi an ounce of prevention is worth a pound of cure,” Hontiveros quipped.",9.0,9.0,9.0,,
" (I can't imagine an inspection where the PCG personnel did not board the vessel. It seems the list of agencies possibly accountable for this incident is getting longer. Despite your heroic efforts to respond, there is a saying that an ounce of prevention is worth a pound of cure.)",9.0,9.0,6.0,,
" At the early part of the hearing, it was disclosed that the vessel had sailed nine times without the authority to operate.",5.0,5.0,5.0,,
" In a post on its Facebook page, the PCG shared the CPC of MT Princess Empress issued by Maritime Industry Authority (MARINA), contrary to the report that the PCG cleared the vessel without CPC.",8.0,5.0,5.0,,
" The document showed that the vessel was granted a CPC on February 6, 2017 and valid for 25 years or until February 6, 2042.",5.0,5.0,5.0,,
" Meanwhile, Oriental Mindoro Governor Humerlito Dolor said there was no direct assistance to affected residents from RDC Reield Marine Services.",13.0,13.0,13.0,,
" “We met once po, but what we are asking is this, two things: the first one is on response clean-up, there, they are helping us…but as far as the direct assistance to our kababayan, 'yun po ang wala (there is none). And that’s what we are asking sana kasabay ng gobyerno kasi hindi po kaya ng gobyerno i-sustain. Masyado pong mabigat ito (they should assist us alongside the government because the government can't do it alone. This is a heavy task),” the governor said.",13.0,13.0,13.0,,
" According to Fritzee Tee, vice president of the RDC Reield Marine Services—the owner of MT Princess Empress, the assistance on oil spill response is coursed through the PCG and they are mulling a cash-for-work program for affected residents.",1.0,1.0,1.0,,
" Asked if they are already distributing the procured food packs for the affected residents, Tee revealed that Pola, Oriental Mindoro Mayor Jennifer Cruz refused to get help from ",13.0,6.0,13.0,,
 Cruz explained they did not ask for help from RDC Reield Marine Services because the latter failed to give them a clear plan regarding the payment of the damages incurred.,1.0,1.0,5.0,,
" “Ang sabi ko po sa kanila, ilatag mo 'yung kailangan na ilalatag ninyo for us. ‘Yung tulong ninyo na binibigay is mga bigas, mga ganyan pero hindi ninyo sinasabi sa amin 'yung clear na plano ninyo for Pola doon sa mga damages, and all that,” she said.",10.0,5.0,5.0,,
" “Hindi na po kasi bumalik sa akin after that. Ang tagal kong naghihintay sa kanila for nine days…hinihingi ko sa kanya. Never sila nagreply sa amin, pinapatayan kami ng phone,” she added.",11.0,10.0,5.0,,
" (I told them to show us the assistance they will provide us. They will give us rice but they are not telling us their clear plan for Pola, the damages and all that. They did not talk to me again after that. I waited for them for nine days. They did not reply to us, they hang up the phone.)",10.0,1.0,13.0,,
 Cruz said Tee’s sister-in-law just reached out to them when they were about to speak on national television.,13.0,11.0,13.0,,
" “Sabi ko, di ko tatanggapin 'yan kasi why now? Kasi sobrang tagal naming naghihintay sa inyo…marami nang nagkasakit, marami nang naapektuhan, pero walang tulong. Sobrang tagal, 14 days na po. Hanggang kailan kami maghihintay,” she said.",11.0,13.0,5.0,,
LTO launches 'Isumbong Mo Kay Chief!' program,6.0,13.0,13.0,,
 The Land Transportation Office (LTO) on Tuesday formally launched a new program that would allow the public to  against their services online.,6.0,1.0,1.0,,
" Dubbed as “Isumbong Mo Kay Chief!”, users need to scan a QR Code to access the online forms for  and  Joseph Morong reported on “BaliTanghali”.",6.0,8.0,8.0,,
"  will go through an LTO operation center, which will be tasked to process and provide feedback on the agency’s actions.",8.0,8.0,8.0,,
" “Sa LTO na medyo meron po kaming pagkukulang at malaki pa po ang aming kailangang i-improve pagdating doon sa customer service namin,” LTO Chief Assistant Secretary Jay Art Tugade said.",1.0,13.0,1.0,,
 (We acknowledge that we have  here in the LTO and we really need to improve our customer service.),1.0,1.0,1.0,,
" “Itong ila-launch namin today, nais namin humingi ng tulong sa publiko at sabihin ninyo po sa amin, saan kami kailangan mag-improve,” he added.",11.0,13.0,3.0,,
" (We want to ask for the public’s help, that's why we’re launching this program today. Kindly tell us where we should improve.)",6.0,6.0,12.0,,
 The agency said the service will be available nationwide as it  that their identities will be kept confidential.,8.0,7.0,5.0,,
"DOH: 86 kids, adolescents tested positive for HIV in January",9.0,9.0,9.0,,
" Eighty-six new cases of human immunodeficiency virus (HIV) were recorded among adolescents and children in January this year, based on data by the Department of Health (DOH).",9.0,9.0,9.0,,
" A report of DOH’s Epidemiology Bureau showed that of the 1,454 confirmed HIV-positive individuals for January, seven cases were kids aged two to nine, while 79 cases were adolescents aged 10 to 19.",9.0,9.0,9.0,,
" Among the adolescents, 57 cases were 18 to 19 years old; 20 cases were 15 to 17 years old; and two cases were 10 to 14 years old.",9.0,11.0,11.0,,
" The DOH said almost all of them acquired the virus through sexual contact, except one who had no data on mode of transmission.",9.0,9.0,9.0,,
" As for the children, six got HIV through vertical transmission, while one also had no data on mode of transmission.",9.0,9.0,9.0,,
" There were also 444 cases aged 15 to 24 who tested positive for HIV. Of them, 96 were found to have advanced HIV infection.",9.0,9.0,9.0,,
 Thirty-nine deaths were also recorded by DOH among people diagnosed with HIV in January “due to any cause.”,9.0,9.0,9.0,,
" Nearly half or 18 of the fatalities came from Central Luzon, National Capital Region, and Northern Mindanao, while the rest were reported in various parts of the country.",9.0,9.0,11.0,,
