Text,Annotation-1,Annotation-2,Annotation-3,Majority-Frame
"Tickets bought in Cebu, QC yield new lotto millionaires",15. Other,15. Other,15. Other,15. Other
"Tickets bought in Cebu City, Cebu and Cubao, Quezon City yielded new Lotto 6/42 millionaires during the 9 p.m. draw of the Philippine Charity Sweepstakes Office (PCSO) on Tuesday, April 18.",15. Other,15. Other,15. Other,15. Other
"Dela Rosa to PNP,  NBI: Wage 'all-out war' vs e-sabong",13. Political,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"‘Balikatan’ participants train on Filipino martial arts, combat tracking",8. Security and Defense,14. External Regulation and Reputation,8. Security and Defense,8. Security and Defense
"Philippine Army (PA) and United States Army troops trained together in Pekiti-Tirsia Kali  tracking on Tuesday, April 18, as part of this year’s Exercise Balikatan.",8. Security and Defense,14. External Regulation and Reputation,8. Security and Defense,8. Security and Defense
"581 out of 1,328 pass April 2023 Real Estate Brokers Licensure exam",10. Quality of Life,15. Other,10. Quality of Life,10. Quality of Life
"The Professional Regulation Commission (PRC) announced on Wednesday, April 19, that 581 out of 1,328 passed the April 2023 Real Estate Brokers Licensure Examination.",10. Quality of Life,15. Other,10. Quality of Life,10. Quality of Life
Alvarez's push for marijuana decriminalization to take center stage on April 20 'family day',6. Policy Prescription and Evaluation,13. Political,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"A ""family day"" to be held in favor of the decriminalization of marijuana will take place Thursday, April 20, in Quezon City, and none other than Davao del Norte 1st district Rep. Pantaleon Alvarez will be the special guest speaker. A ""family day"" to be held in favor of the decriminalization of marijuana will take place Thursday, April 20, in Quezon City, and none other than Davao del Norte 1st district Rep. Pantaleon Alvarez will be the special guest speaker.",6. Policy Prescription and Evaluation,13. Political,13. Political,13. Political
DOH warns vs possible health problems during El Niño,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
The Department of Health (DOH) said that various health problems may be experienced in relation to the El Niño phenomenon.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Why is early breast cancer detection important?,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Early breast cancer detection leads to immediate treatment and a significantly lower cost of medical expenses, breast cancer advocates said in Kapihan sa Manila Bay media forum on Wednesday, April 19.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
PBBM targets groundbreaking of 1.2-M housing units before SONA,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
President Ferdinand “Bongbong” Marcos Jr. is confident his administration would lead the groundbreaking of sites for about 1.2 million housing units before his second State of the Nation Address (SONA) in July.,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
Marcos eyes hospital expansion to beef up local health services,2. Capacity and Resources,9. Health and Safety,2. Capacity and Resources,2. Capacity and Resources
"President Ferdinand ""Bongbong"" Marcos Jr. on Wednesday said the government will expand some of the country's hospitals to cater to the needs of patients with special cases.",2. Capacity and Resources,9. Health and Safety,2. Capacity and Resources,2. Capacity and Resources
"DepEd, ODA partners meet to discuss support for PH education reforms",5. Constitutionality and Jurisprudence,6. Policy Prescription and Evaluation,10. Quality of Life,False
"To discuss existing and future support for the reforms in the country’s basic education system, the Department of Education (DepEd) on Wednesday, April 19, said its officials met with representatives of the Official Development",5. Constitutionality and Jurisprudence,6. Policy Prescription and Evaluation,10. Quality of Life,False
Tributes pour in for late ex-DFA chief Albert del Rosario,13. Political,15. Other,13. Political,13. Political
"Tributes continued to pour in for the late former Department of Foreign Affairs (DFA) chief Albert del Rosario, who was hailed as a champion of  Philippine sovereignty.",13. Political,15. Other,13. Political,13. Political
Organized violence' in Negros Oriental 'hard to accept' for Dela Rosa,13. Political,"7. Law and Order, Crime and Justice",13. Political,13. Political
"The seeming ""organized violence"" in the province of Negros Oriental is ""hard to accept"".",13. Political,"7. Law and Order, Crime and Justice",3. Morality,False
"Centino visits 3 EDCA sites in Cagayan, Isabela",13. Political,13. Political,8. Security and Defense,13. Political
"Gen. Andres Centino, Chief of Staff of the Armed Forces of the Philippines (CSAFP), went to Cagayan and Isabela provinces on Tuesday, April 18, to inspect three of the four proposed sites for the expansion of the Enhanced Defense Cooperation Agreement (EDCA) which are also being used as venues for the ongoing Exercise Balikatan.",13. Political,2. Capacity and Resources,8. Security and Defense,False
Are women more at risk for breast cancer if they do not have kids?,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Marcos wants to clarify Chinese envoy's 'surprising' remarks on OFWs in Taiwan,13. Political,14. External Regulation and Reputation,13. Political,13. Political
"President Ferdinand ""Bongbong"" Marcos Jr. said he intends to talk to Chinese Ambassador to the Philippines Huang Xilian, and clarify the latter's ""surprising"" statement about the overseas Filipino workers (OFWs) in Taiwan.",13. Political,14. External Regulation and Reputation,13. Political,13. Political
"Marcos, Duterte maintain ‘majority’ approval, trust ratings in March 2023 OCTA survey",13. Political,12. Public Opinion,13. Political,13. Political
"President Ferdinand Marcos Jr. and Vice President Sara Duterte recorded “big majority” approval and trust scores in the March 2023 OCTA survey results released on Wednesday, April 19.",13. Political,12. Public Opinion,13. Political,13. Political
Wala kayo nyan': 'Baby Yoda' is Guanzon's special travel buddy,15. Other,15. Other,15. Other,15. Other
To all the Star Wars geeks out there: Rowena Guanzon is one of you.,15. Other,15. Other,15. Other,15. Other
DILG reminds LGUs “in-person earthquake drill’’ now allowed,9. Health and Safety,10. Quality of Life,2. Capacity and Resources,False
The Department of the Interior and Local Government (DILG) reminded local government units (LGUs) and its regional offices that the conduct of in-person or physical National Simultaneous Earthquake Drill (NSED) is now allowed after three years of suspension due to the pandemic.,9. Health and Safety,10. Quality of Life,2. Capacity and Resources,False
"Focus on maintaining peace and order, Abalos urges local execs",3. Morality,"7. Law and Order, Crime and Justice",8. Security and Defense,False
"Department of the Interior and Local Government (DILG) Secretary Benjamin “Benhur” Abalos, Jr. called on all local chief executives (LCEs) to ensure the peace and order situation in their respective jurisdictions.",3. Morality,"7. Law and Order, Crime and Justice",8. Security and Defense,False
COA flags Leyte province for ‘delays’ in P251-M infrastructure projects,2. Capacity and Resources,"7. Law and Order, Crime and Justice",2. Capacity and Resources,2. Capacity and Resources
The Commission on Audit (COA) has flagged the Leyte provincial government for the “delays and leniency in the monitoring” of its P251.13 million infrastructure projects.,2. Capacity and Resources,"7. Law and Order, Crime and Justice",2. Capacity and Resources,2. Capacity and Resources
Marcos pushes public-private partnership in healthcare,2. Capacity and Resources,6. Policy Prescription and Evaluation,9. Health and Safety,False
"President Ferdinand “Bongbong” Marcos Jr. on Wednesday, April 19, promised government support for programs and initiatives that would boost the health sector as he also called for more public-private partnerships in health.",2. Capacity and Resources,6. Policy Prescription and Evaluation,4. Fairness and Equality,False
"Del Rosario: Patriot, inspiring public servant --- Robredo",13. Political,13. Political,13. Political,13. Political
"Former vice president Leni Robredo expressed grief over the death of former Foreign Affairs secretary Albert del Rosario, whom she called a “patriot” and a “personal friend.”",13. Political,13. Political,13. Political,13. Political
Gov't will help until full recovery from pandemic --- PBBM,2. Capacity and Resources,10. Quality of Life,4. Fairness and Equality,False
"As the country continues to bounce back from the effects of the Covid-19 pandemic, President Ferdinand ""Bongbong"" Marcos Jr. assured Filipinos that the government will do everything it could to assist those who need assistance, especially those who have yet to recover from the health crisis.",2. Capacity and Resources,10. Quality of Life,4. Fairness and Equality,False
NBI official recalls the time Teves threatened him with charges,13. Political,"7. Law and Order, Crime and Justice",8. Security and Defense,False
"A National Bureau of Investigation (NBI) official testified on Wednesday, April 19 before the Senate Public Order and Dangerous  how Negros Oriental 3rd district Rep. Arnolfo Teves Jr. threatened to file charges against NBI agents for raiding an e-sabong (electronic cockfighting) cockpit in Cebu last year.",13. Political,"7. Law and Order, Crime and Justice",8. Security and Defense,False
BI fielding 147 officers at NAIA,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
"Starting April 24, the Bureau of Immigration (BI) will deploying147 newly hired immigration officers (IOs) for on-site training at the Ninoy Aquino International Airport (NAIA).",2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
Twin river structures shield Nueva Ecija farmlands from heavy flooding- DPWH,9. Health and Safety,9. Health and Safety,8. Security and Defense,9. Health and Safety
"The Department of Public Works and Highways (DPWH) has built two flood control structures along the Pampanga River sections that ensure the protection of the residents in San Leonardo, Nueva Ecija against the threat of inundation during inclement weather and heavy rains of long duration.",9. Health and Safety,9. Health and Safety,8. Security and Defense,9. Health and Safety
Cong Duterte bats for passage of bill regulating single-use plastics ahead of Earth Day,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"On the occasion of Earth Month this April, Davao City 1st district Rep. Paolo Dutere is highlighting a measure he filed earlier in the 19th Congress seeking to regulate the manufacture, sale, use, and importation of single-use plastic products.",6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
Bonoan names new DPWH-NCR assistant director,13. Political,13. Political,13. Political,13. Political
Department of Public Works and Highways Secretary Manuel Bonoan has designated Joel F. Limpengco as officer-in-charge of the Office of the Assistant Regional Director in Metro Manila.,13. Political,13. Political,13. Political,13. Political
LTFRB calls for dialogue over criticisms on its decision to open more TNVS slots in NCR,2. Capacity and Resources,6. Policy Prescription and Evaluation,4. Fairness and Equality,False
"The Land Transportation Franchising and Regulatory Board (LTFRB) has invited leaders of various transport groups for a dialogue over opposition on the agency’s decision to open more than 10,000 additional slots for Transport Network Vehicle Services (TNVS) in Metro Manila.",2. Capacity and Resources,6. Policy Prescription and Evaluation,4. Fairness and Equality,False
China's envoy keeps silence on controversial statement,13. Political,14. External Regulation and Reputation,13. Political,13. Political
Chinese Ambassador to the Philippines Huang Xilian has maintained his silence over his controversial remark related to overseas Filipino workers (OFWs) in Taiwan and instead called to maintain the friendship between the Philippines and China.,13. Political,14. External Regulation and Reputation,13. Political,13. Political
OVP sends aid to Mindoro fisherfolk,9. Health and Safety,10. Quality of Life,2. Capacity and Resources,False
The Office of Vice President Sara Duterte continued to extend assistance  in Oriental Mindoro that were affected by the oil spill.,9. Health and Safety,10. Quality of Life,2. Capacity and Resources,False
500 Bilibid inmates set for transfer to Iwahig Prison in Palawan,13. Political,2. Capacity and Resources,8. Security and Defense,False
About 500 persons deprived of liberty (PDLs) at the New Bilibid Prison (NBP) in Muntinlupa City will be transferred in May to the Iwahig Prison and Penal Farm (IPPF) in Palawan.,13. Political,2. Capacity and Resources,8. Security and Defense,False
No SIM Registration extension 'at this point' — DICT,13. Political,6. Policy Prescription and Evaluation,2. Capacity and Resources,False
"The mandatory Subscriber Identity Module (SIM) registration will still end on April 26, the Department of Information and Communications Technology (DICT) said on Wednesday morning, April 19.",13. Political,6. Policy Prescription and Evaluation,2. Capacity and Resources,False
"Right under our very noses': Crypto scam hubs already in PH, says Hontiveros",8. Security and Defense,"7. Law and Order, Crime and Justice",8. Security and Defense,8. Security and Defense
"Senator Risa Hontiveros  on Wednesday, April 19 sounded the alarm once again on the notorious cryptocurrency scam syndicate, saying that many of its operations are being conducted right here in the Philippines.",8. Security and Defense,"7. Law and Order, Crime and Justice",8. Security and Defense,8. Security and Defense
"PH, US congressmen meet in Washington; Romualdez cites 'new levels of understanding'",13. Political,14. External Regulation and Reputation,13. Political,13. Political
"Fruitful, engaging, emboldening.",15. Other,15. Other,15. Other,15. Other
No need to import goods if MSMEs in PH are strong—PBBM,1. Economic,1. Economic,2. Capacity and Resources,1. Economic
"There would be no need to import goods if the micro, small, and medium enterprises (MSMEs) are strong enough to address the demands of the local market, President Ferdinand “Bongbong” Marcos said on Wednesday, April 19.",1. Economic,1. Economic,2. Capacity and Resources,1. Economic
"PH to experience partly cloudy skies, isolated rain showers, thunderstorms",10. Quality of Life,10. Quality of Life,10. Quality of Life,10. Quality of Life
"The country may continue to experience partly cloudy to cloudy weather with isolated rain showers or thunderstorms in the next 24 hours, the Philippine Atmospheric, Geophysical and Astronomical Services Administration (PAGASA) said on Wednesday, April 19.",10. Quality of Life,10. Quality of Life,10. Quality of Life,10. Quality of Life
Calls to extend estate tax amnesty period snowball in House,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
AGRI Party-list Rep. Wilbert T. Lee has echoed calls from the House leadership to extend the availment period of estate tax amnesty for another two years.,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
Feast of Saint Agnes on April 20,10. Quality of Life,3. Morality,3. Morality,3. Morality
"The Roman Catholic Church will honor on Thursday, April 20, the memory of one of the most well venerated Dominican saints of the Holy Rosary - Saint Agnes (Santa Ines) of Montepulciano, a great devotee of the Blessed Mother.",10. Quality of Life,3. Morality,3. Morality,3. Morality
DICT’s Broadband ng Masa program reaches Davao City,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
The Department of Information and Communications Technology (DICT) launched the Broadband ng Masa program in Davao City in line with its goal to eradicate digital divide across the archipelago.,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
Cong Migs wants to 'manifest her love life',15. Other,15. Other,13. Political,15. Other
"It seems that Puwersa ng Bayaning Atleta (PBA) Party-list Rep. Migs Nograles is trying to will her ""love life"" into existence.",15. Other,15. Other,13. Political,15. Other
Congressman echoes call to extend SIM card registration period,13. Political,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
A vice chairman of the House Committee on Information and Communications Technology has joined the calls for the extension of the SIM card registration period in light of the low registry turnout.,13. Political,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
Two bettors win P82.1-M Lotto 6/42 jackpot,15. Other,15. Other,15. Other,15. Other
"Two lucky bettors won the jackpot prize for Lotto 6/42 worth P82,139,803.60 in the evening draw of the Philippine Charity Sweepstakes Office (PCSO) on Tuesday, April 18.",15. Other,15. Other,15. Other,15. Other
Review on police drug links out in two weeks — Marcos,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice",5. Constitutionality and Jurisprudence,"7. Law and Order, Crime and Justice"
An internal review on the reported link to illegal drugs trade of top police officers will be out in two weeks.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice",5. Constitutionality and Jurisprudence,"7. Law and Order, Crime and Justice"
DepEd: 2021 Performance-Based Bonus ‘undergoing assessment’,13. Political,6. Policy Prescription and Evaluation,1. Economic,False
"The Department of Education (DepEd) on Tuesday, April 18, said it is coordinating with various government agencies regarding the 2021 Performance-Based Bonus (PBB) of its personnel.",13. Political,6. Policy Prescription and Evaluation,1. Economic,False
"Marcos orders men to solve political violence, illegal drug trade","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"President Ferdinand ""Bongbong"" Marcos Jr. on Tuesday ordered his men to address political violence, including those that are stemmed from illegal drug trade, as such crimes are today's biggest threats in the country.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Hontiveros hits clarification of Chinese envoy,13. Political,14. External Regulation and Reputation,13. Political,13. Political
"Senator Risa Hontiveros on Tuesday, April 18, brushed off the clarification of controversial Chinese Ambassador Huang Xilian that his statement on the overseas Filipino workers (OFWs) in Taiwan was misquoted.",13. Political,14. External Regulation and Reputation,13. Political,13. Political
Solon explains why coconut farmers' registry should always be up-to-date,13. Political,6. Policy Prescription and Evaluation,4. Fairness and Equality,False
"The key to ensuring the proper implementation of Republic Act (RA) No.11524, otherwise known as the “Coconut Farmers and Industry Trust Fund Act"", is to keep the farmers' registry updated.",13. Political,6. Policy Prescription and Evaluation,4. Fairness and Equality,False
"Comelec wants nuisance candidates slapped with fine, jail time",6. Policy Prescription and Evaluation,"7. Law and Order, Crime and Justice",5. Constitutionality and Jurisprudence,False
The Commission on Elections (Comelec) is pushing for the imposition of monetary penalty or jail time on anyone found to be a nuisance candidate.,6. Policy Prescription and Evaluation,"7. Law and Order, Crime and Justice",5. Constitutionality and Jurisprudence,False
"Water interruption expected in some parts of NCR, Rizal due to repair- Manila Water",2. Capacity and Resources,10. Quality of Life,10. Quality of Life,10. Quality of Life
"Water interruption is expected to be experienced by residents in some parts of Metro Manila and Rizal from April 19 to 25 due to maintenance activities, the Manila Water announced on Tuesday, April 18.",2. Capacity and Resources,10. Quality of Life,10. Quality of Life,10. Quality of Life
Heat indices in 5 areas hit ‘danger level’ on April 18,10. Quality of Life,10. Quality of Life,10. Quality of Life,10. Quality of Life
"The heat index in five areas in the country hit the “danger level” after reaching at least 42 degrees Celsius (℃) on Tuesday, April 18, the Philippine Atmospheric, Geophysical and Astronomical Services Administration (PAGASA) said.",10. Quality of Life,10. Quality of Life,10. Quality of Life,10. Quality of Life
JV: Public-Private Partnership Act will help address PH infra backlog,2. Capacity and Resources,6. Policy Prescription and Evaluation,2. Capacity and Resources,2. Capacity and Resources
"Senator Joseph Victor “JV” Ejercito on Tuesday, April 18, expressed his support for the passage of the Public-Private Partnership (PPP) Bill.",6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
Zubiri meets US trade representative,13. Political,14. External Regulation and Reputation,13. Political,13. Political
"Senate President Juan Miguel Zubiri on Tuesday, April 18, met with Ambassador Katherine Tai, United States (US) Trade Representative, who is in the country to drum up support for Americam trade policies under the Biden administration and expound on the Indo-Pacific Economic Framework (IPEF).",14. External Regulation and Reputation,14. External Regulation and Reputation,13. Political,14. External Regulation and Reputation
Nothing ‘funny’ in killings of 9 persons in Negros Oriental – Sec Remulla,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice",3. Morality,"7. Law and Order, Crime and Justice"
"There is nothing “funny” in the killings of nine persons, including the highest provincial official, and injuries to 18 others last March 4 in Negros Oriental, Department of Justice (DOJ) Secretary Jesus Crispin C. Remulla said on Tuesday, April 18.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice",3. Morality,"7. Law and Order, Crime and Justice"
DOJ to protect Negros Oriental folk from 'reign of terror',8. Security and Defense,"7. Law and Order, Crime and Justice",8. Security and Defense,8. Security and Defense
Department of Justice (DOJ) logo,15. Other,15. Other,15. Other,15. Other
OVP opens a Batangas office for social and medical services,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
"Access to social and medical services provided by the Office of the Vice President (OVP) may now easily be reached by Filipinos in need from Cavite, Laguna, Batangas, Rizal, and Quezon (Calabarzon) region.",2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
Marcos mourns passing of ex-DFA chief Albert del Rosario,13. Political,15. Other,13. Political,13. Political
"President Ferdinand ""Bongbong"" Marcos Jr. has joined the nation in mourning the passing of former Department of Foreign Affairs (DFA) secretary Albert del Rosario.",13. Political,15. Other,13. Political,13. Political
China's top diplomat to visit PH,13. Political,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"China's top diplomat, Foreign Minister Qin Gang, will fly to the Philippines over the weekend for an official visit and meeting with his Filipino counterpart as Beijing and Manila keep their relations warm amid their continued differences, especially over the South China Sea.",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
LGUs may begin rollout of Covid-19 2nd booster shot for general population—DOH,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Local government units (LGUs) may now start the rollout of the second Covid-19 booster shot for the general population, the Department of Health (DOH) said on Tuesday, April 18.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Women’s group: Police force must be protectors not perpetrators,3. Morality,12. Public Opinion,4. Fairness and Equality,False
Violence should not be inflicted on anyone.,3. Morality,"7. Law and Order, Crime and Justice",3. Morality,3. Morality
Reconstructed Pampanga Steel Flyover now open to light vehicles—DPWH,2. Capacity and Resources,10. Quality of Life,10. Quality of Life,10. Quality of Life
"After conducting a final safety inspection, the Department of Public Works and Highways (DPWH) opened on Tuesday, April 18, the “busy modular steel flyover’’ at the intersection of the Lazatin Avenue and Jose Abad Avenue in San Fernando, Pampanga.",2. Capacity and Resources,10. Quality of Life,10. Quality of Life,10. Quality of Life
Educators demand salary increase ahead of Labor Day celebration,4. Fairness and Equality,2. Capacity and Resources,4. Fairness and Equality,4. Fairness and Equality
Public and private educators reiterated their calls for wage increase less than two weeks before the  Labor Day.,4. Fairness and Equality,2. Capacity and Resources,4. Fairness and Equality,4. Fairness and Equality
26 of 35 Puerto Galera stations fail to meet DENR’s water quality standards,9. Health and Safety,10. Quality of Life,2. Capacity and Resources,False
"A total of 26 out of the 35 sampling stations in Puerto Galera, Oriental Mindoro have failed to meet the criteria for the Department of Environment and Natural Resources’ (DENR’s) Water Quality Guidelines and General Effluent Standards of 2016 due to high levels of oil and grease.",9. Health and Safety,10. Quality of Life,2. Capacity and Resources,False
"PRC should take a cue from Bar exams, aim for modernization--Cong Daza",13. Political,6. Policy Prescription and Evaluation,2. Capacity and Resources,False
"For Northern Samar 1st district Rep. Paul Daza, the Professional Regulation Commission (PRC) ought to be ""encouraged"" to modernize its licensure examinations following the recent release of the 2022 Bar examination results.",13. Political,6. Policy Prescription and Evaluation,2. Capacity and Resources,False
CHR probes recent killings of barangay officials,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice",5. Constitutionality and Jurisprudence,"7. Law and Order, Crime and Justice"
"The Commission on Human Rights (CHR) has started its own investigation into the recent killings of barangay (village) officials in Maguindanao del Norte and Maguindanao del Sur as it condemned the incidents as undermining democracy and ""creating a culture of fear and insecurity""","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice",5. Constitutionality and Jurisprudence,"7. Law and Order, Crime and Justice"
DOH: 26 out of 35 Puerto Galera sites failed water quality test,9. Health and Safety,10. Quality of Life,2. Capacity and Resources,False
"Twenty-six sampling stations in Puerto Galera in Mindoro were found positive with oil and grease contaminants, the Department of Health (DOH) said on Tuesday, April 18.",9. Health and Safety,9. Health and Safety,2. Capacity and Resources,9. Health and Safety
Budget Secretary Amenah Pangandaman is MB’s newest columnist,13. Political,13. Political,13. Political,13. Political
The Manila Bulletin  Department of Budget and Management,15. Other,15. Other,15. Other,15. Other
PH needs P2 trillion to mitigate El Niño impact — NIA,2. Capacity and Resources,1. Economic,1. Economic,1. Economic
"The Philippines would need P2 trillion to irrigate some 1.2 million hectares of potentially irrigable areas in the country, National Irrigation Administration (NIA) Acting Administrator Eduardo Guillen said on Tuesday, April 18.",2. Capacity and Resources,1. Economic,1. Economic,1. Economic
"Del Rosario a 'true champion of PH democracy and sovereignty', says House leader",13. Political,13. Political,3. Morality,13. Political
"""A true champion of Philippine democracy and sovereignty.""",15. Other,13. Political,3. Morality,False
Marcos on El Niño impact: Deploy whole of nation approach,13. Political,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
President Ferdinand “Bongbong” Marcos Jr. directed government agencies  up with a “whole-of-nation” and “whole-of-government” approach in preparing for the El Niño phenomenon that could hit the country this year.,13. Political,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
IACAT members enhance advocacy vs human trafficking in next 5 years,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice",4. Fairness and Equality,"7. Law and Order, Crime and Justice"
Members of Inter-Agency Council Against Trafficking (IACAT) vowed to have a synchronized and coordinated advocacy against human trafficking in the next five years.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice",4. Fairness and Equality,"7. Law and Order, Crime and Justice"
Health protocols remain effective despite rise in Covid-19 cases—DOH,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"There is no need to make changes in the current health protocols as these are still effective despite rising numbers of Covid-19 cases in the country, the Department of Health (DOH) said.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"BI shrugs off socmed bashing, vows to step up drive vs human trafficking","7. Law and Order, Crime and Justice",6. Policy Prescription and Evaluation,8. Security and Defense,False
The Bureau of Immigration (BI) said it will continue its intensified campaign against human trafficking and illegal recruitment despite being at the receiving end of social media bashing.,"7. Law and Order, Crime and Justice",6. Policy Prescription and Evaluation,8. Security and Defense,False
"Probability of El Niño developing in June-August rises to 80%, says PAGASA",10. Quality of Life,10. Quality of Life,10. Quality of Life,10. Quality of Life
"The Philippine Atmospheric, Geophysical and Astronomical Services Administration (PAGASA) on Tuesday, April 18 projected an 80 percent chance of El Niño developing between June and August, up from the previous forecast of 55 percent last month.",10. Quality of Life,10. Quality of Life,10. Quality of Life,10. Quality of Life
BI foils another human trafficking via NAIA,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
The Bureau of Immigration (BI) has stopped another attempt of alleged human trafficking group to send three Filipinos to Dubai through Hong Kong.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Germany to boost climate partnership with PH,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"Germany is seeking to intensify its cooperation with the Philippines in terms of climate action as it warned on Tuesday that the world is now ""living in an absolutely crucial time.""",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
BuCor set to release 532 inmates,"7. Law and Order, Crime and Justice",2. Capacity and Resources,5. Constitutionality and Jurisprudence,False
"The Bureau of Corrections (BuCor) is set to release on Thursday, April 20, a total of 532 persons deprived of liberty (PDLs) from its prison facilities nationwide.","7. Law and Order, Crime and Justice",2. Capacity and Resources,5. Constitutionality and Jurisprudence,False
Int'l community mourns death of PH former top diplomat,13. Political,14. External Regulation and Reputation,13. Political,13. Political
The  is mourning the passing of the Philippines' former Department of Foreign Affairs (DFA) Secretary Albert del Rosario.,13. Political,14. External Regulation and Reputation,13. Political,13. Political
Senators react to the passing of ex-DFA chief Del Rosario,13. Political,13. Political,13. Political,13. Political
"Senators are mourning the passing of former Department of Foreign Affairs (DFA) Secretary Albert del Rosario, who died Tuesday, April 17, at the age of 83.",13. Political,13. Political,13. Political,13. Political
AFP lauds arrest of alleged communist leader Casilao,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"The Armed Forces of the Philippines (AFP) hailed on Tuesday, April 18, the arrest and eventual deportation of  leader Eric Casilao in Malaysia.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
CA denies with finality detained ex-ARMM Gov. Ampatuan’s plea for transfer to hospital,"7. Law and Order, Crime and Justice",5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence
The Court of Appeals (CA) has declared final its 2022 decision that denied the plea of detained former Autonomous Region in Muslim Mindanao (ARMM) Gov. Datu Zaldy Ampatuan for transfer to a hospital or other medical facility.,"7. Law and Order, Crime and Justice",5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence
"Risky move? Hontiveros seeks probe on planned LBP, DBP merger","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice",5. Constitutionality and Jurisprudence,"7. Law and Order, Crime and Justice"
